Customer Order,Dist.Chl.Name,Material Group,FG Type,FG Type Desc.,Construction,Fabrication,Design Source,Business Source,Customer Group,Customer,Gender,Global Style,FG SKU,Cust.Color Code,Season,Season Year,Size,Order Qty,Sales Unit,FOB,Total FOB,SO Doc.Currency,Destination,Req.Delivery Date,RM In Date,Planned Cut Date,Original Ex.Factory Date,Revised Ex.Factory Date,Program Type,Program Type Desc.,Pack Qty,Production Lead Time,Revised Original Date Difference,Order Day,Order Year,Order Month
867536039,0,1,4,4,0,0,1,0,6,0,5,1,24,433,5,2024,45,1234,1,3.947999999999999,4871.831999999999,0,1,1711584000.0,1707696000.0,1708300800.0,1708992000.0,1711411200.0,1,1,10,8,28,28,2024,3
867536059,0,1,4,4,0,0,1,0,6,0,5,1,33,433,5,2024,48,19,1,4.599,87.381,0,1,1710979200.0,1707696000.0,1708300800.0,1708992000.0,1710806400.0,1,1,10,8,21,21,2024,3
867536042,0,1,4,4,0,0,1,0,6,0,5,1,27,155,5,2024,93,86,1,3.3949999999999996,291.96999999999997,0,1,1710979200.0,1707696000.0,1708300800.0,1708992000.0,1710806400.0,1,1,10,8,21,21,2024,3
867536021,0,1,4,4,0,0,1,0,6,0,5,1,6,155,5,2024,95,187,1,3.3949999999999996,634.8649999999999,0,1,1711584000.0,1707696000.0,1708300800.0,1708992000.0,1711411200.0,1,1,10,8,28,28,2024,3
867536022,0,1,4,4,0,0,1,0,6,0,5,1,7,155,5,2024,96,564,1,3.947999999999999,2226.6719999999996,0,1,1711584000.0,1707696000.0,1708300800.0,1708992000.0,1711411200.0,1,1,10,8,28,28,2024,3
867536050,0,1,4,4,0,0,1,0,6,0,5,1,29,254,5,2024,48,21,1,3.947999999999999,82.90799999999999,0,1,1710979200.0,1707696000.0,1708300800.0,1708992000.0,1710806400.0,1,1,10,8,21,21,2024,3
867536051,0,1,4,4,0,0,1,0,6,0,5,1,30,254,5,2024,59,25,1,3.947999999999999,98.7,0,1,1710979200.0,1707696000.0,1708300800.0,1708992000.0,1710806400.0,1,1,10,8,21,21,2024,3
867536038,0,1,4,4,0,0,1,0,6,0,5,1,23,433,5,2024,56,800,1,3.947999999999999,3158.3999999999996,0,1,1711584000.0,1707696000.0,1708300800.0,1708992000.0,1711411200.0,1,1,10,8,28,28,2024,3
867536060,0,1,4,4,0,0,1,0,6,0,5,1,34,433,5,2024,59,9,1,4.599,41.391000000000005,0,1,1710979200.0,1707696000.0,1708300800.0,1708992000.0,1710806400.0,1,1,10,8,21,21,2024,3
867536037,0,1,4,4,0,0,1,0,6,0,5,1,22,433,5,2024,89,124,1,3.3949999999999996,420.98,0,1,1711584000.0,1707696000.0,1708300800.0,1708992000.0,1711411200.0,1,1,10,8,28,28,2024,3
867536040,0,1,4,4,0,0,1,0,6,0,5,1,25,433,5,2024,90,447,1,3.947999999999999,1764.756,0,1,1711584000.0,1707696000.0,1708300800.0,1708992000.0,1711411200.0,1,1,10,8,28,28,2024,3
867536036,0,1,4,4,0,0,1,0,6,0,5,1,21,433,5,2024,92,38,1,3.3949999999999996,129.01,0,1,1711584000.0,1707696000.0,1708300800.0,1708992000.0,1711411200.0,1,1,10,8,28,28,2024,3
867536057,0,1,4,4,0,0,1,0,6,0,5,1,31,433,5,2024,96,29,1,3.947999999999999,114.492,0,1,1710979200.0,1707696000.0,1708300800.0,1708992000.0,1710806400.0,1,1,10,8,21,21,2024,3
867536069,0,0,4,4,1,1,0,0,0,6,5,2,39,14,0,2023,98,5,1,7.98,39.9,0,0,1686787200.0,1684195200.0,1684281600.0,1683590400.0,1684540800.0,1,1,50,-8,11,15,2023,6
867536084,0,1,4,4,1,1,1,0,0,6,5,2,50,7,11,2024,98,15,1,9.324,139.86,0,0,1706832000.0,1704153600.0,1704758400.0,1705622400.0,1706486400.0,1,1,20,10,10,2,2024,2
867536089,0,1,4,4,1,1,1,0,0,6,5,2,51,535,11,2024,98,12,1,9.744,116.928,0,0,1706832000.0,1704153600.0,1704758400.0,1705622400.0,1706486400.0,1,1,20,10,10,2,2024,2
867536070,0,1,4,4,1,1,1,0,0,6,5,2,40,7,11,2024,97,10,1,9.324,93.24,0,0,1706832000.0,1704153600.0,1704758400.0,1705622400.0,1706486400.0,1,1,20,10,10,2,2024,2
867536075,0,1,4,4,1,1,1,0,0,6,5,2,45,535,11,2024,97,5,1,9.744,48.72,0,0,1706832000.0,1704153600.0,1704758400.0,1705622400.0,1706486400.0,1,1,20,10,10,2,2024,2
867536068,0,0,4,4,1,1,0,0,0,6,5,2,38,14,0,2023,95,10,1,7.98,79.8,0,0,1686787200.0,1684195200.0,1684281600.0,1683590400.0,1684540800.0,1,1,50,-8,11,15,2023,6
867536074,0,1,4,4,1,1,1,0,0,6,5,2,44,7,11,2024,95,25,1,9.324,233.1,0,0,1706832000.0,1704153600.0,1704758400.0,1705622400.0,1706486400.0,1,1,20,10,10,2,2024,2
867536079,0,1,4,4,1,1,1,0,0,6,5,2,49,535,11,2024,95,15,1,9.744,146.16,0,0,1706832000.0,1704153600.0,1704758400.0,1705622400.0,1706486400.0,1,1,20,10,10,2,2024,2
867536065,0,0,4,4,1,1,0,0,0,6,5,2,35,14,0,2023,93,20,1,7.98,159.6,0,0,1686787200.0,1684195200.0,1684281600.0,1683590400.0,1684540800.0,1,1,50,-8,11,15,2023,6
867536071,0,1,4,4,1,1,1,0,0,6,5,2,41,7,11,2024,93,30,1,9.324,279.71999999999997,0,0,1706832000.0,1704153600.0,1704758400.0,1705622400.0,1706486400.0,1,1,20,10,10,2,2024,2
867536076,0,1,4,4,1,1,1,0,0,6,5,2,46,535,11,2024,93,25,1,9.744,243.6,0,0,1706832000.0,1704153600.0,1704758400.0,1705622400.0,1706486400.0,1,1,20,10,10,2,2024,2
867536066,0,0,4,4,1,1,0,0,0,6,5,2,36,14,0,2023,92,35,1,7.98,279.3,0,0,1686787200.0,1684195200.0,1684281600.0,1683590400.0,1684540800.0,1,1,50,-8,11,15,2023,6
867536072,0,1,4,4,1,1,1,0,0,6,5,2,42,7,11,2024,92,45,1,9.324,419.58,0,0,1706832000.0,1704153600.0,1704758400.0,1705622400.0,1706486400.0,1,1,20,10,10,2,2024,2
867536077,0,1,4,4,1,1,1,0,0,6,5,2,47,535,11,2024,92,40,1,9.744,389.76,0,0,1706832000.0,1704153600.0,1704758400.0,1705622400.0,1706486400.0,1,1,20,10,10,2,2024,2
867536067,0,0,4,4,1,1,0,0,0,6,5,2,37,14,0,2023,89,30,1,7.98,239.4,0,0,1686787200.0,1684195200.0,1684281600.0,1683590400.0,1684540800.0,1,1,50,-8,11,15,2023,6
867536073,0,1,4,4,1,1,1,0,0,6,5,2,43,7,11,2024,89,40,1,9.324,372.96,0,0,1706832000.0,1704153600.0,1704758400.0,1705622400.0,1706486400.0,1,1,20,10,10,2,2024,2
867536078,0,1,4,4,1,1,1,0,0,6,5,2,48,535,11,2024,89,30,1,9.744,292.32,0,0,1706832000.0,1704153600.0,1704758400.0,1705622400.0,1706486400.0,1,1,20,10,10,2,2024,2
867536090,0,0,4,4,1,1,0,0,0,6,5,3,52,109,0,2023,93,25,1,5.739999999999999,143.49999999999997,0,0,1693785600.0,1684195200.0,1684281600.0,1683590400.0,1684540800.0,1,1,50,-8,11,4,2023,9
